#z-coord	CCo.1	CCo.2	CCo.3	CCo_average	Cco_std	SEM
17.1	0.786	0.81691106	0.745893965	0.782935008333333	0.035607619633968	0.020558068780873
17.2	0.7799	0.82433706	0.740705965	0.781647675	0.041842929972147	0.024158026883102
17.3	0.7715	0.83407406	0.735417965	0.780330675	0.049917350549473	0.028819795776971
17.4	0.7674	0.84761906	0.743758965	0.786259341666667	0.054437908753251	0.03142974127281
17.5	0.77015	0.84656856	0.740770965	0.785829841666667	0.054613879673255	0.031531338130844
17.6	0.7729	0.84551806	0.737782965	0.785400341666667	0.054944577348473	0.031722266522651
17.7	0.7778	0.82938606	0.730341965	0.779176008333333	0.049536382970422	0.028599844042654
17.8	0.7796	0.83048906	0.732246965	0.780778675	0.04913165235939	0.028366172715425
17.9	0.7802	0.83302606	0.732346965	0.781857675	0.05036001347606	0.029075367336797
18	0.7785	0.83652806	0.739564965	0.784864341666667	0.04879384266106	0.028171138195159
18.1	0.7854	0.83020806	0.746534965	0.787381008333333	0.041871708852545	0.024174642377447
18.2	0.7852	0.83034106	0.758526965	0.791356008333333	0.036300666510648	0.020958199581686
18.3	0.7927	0.82851006	0.758652965	0.793287675	0.034932255178974	0.020168146930982
18.4	0.8025	0.81579306	0.757130965	0.791808008333333	0.030757915433223	0.017758090755083
18.5	0.8095	0.80845306	0.759977965	0.792643675	0.02829417746099	0.016335650973602
18.6	0.7973	0.80266906	0.763009965	0.787659675	0.021515409678507	0.012421927569611
18.7	0.7934	0.79628606	0.768610965	0.786099008333333	0.015213680695424	0.008783622644868
18.8	0.7959	0.78229906	0.770037965	0.782745675	0.012936800698162	0.007469065365537
18.9	0.7987	0.77590606	0.768705965	0.781104008333333	0.015658050135707	0.009040179460835
19	0.8012	0.76698706	0.763426965	0.777204675	0.020856660458807	0.012041598530289
19.1	0.8065	0.75436606	0.761234965	0.774033675	0.028325644886374	0.016353818700118
19.2	0.8098	0.74904806	0.763061965	0.773970008333333	0.031810982544749	0.018366079335397
19.3	0.815	0.74242606	0.756656965	0.771361008333333	0.038456480072184	0.022202859121761
19.4	0.8168	0.73030006	0.744313965	0.763804675	0.046427101322708	0.026804699446359
19.5	0.8175	0.73036206	0.744624965	0.764162341666667	0.046739030393476	0.026984791779336
19.6	0.8182	0.72630606	0.740276965	0.761594341666667	0.049517138075037	0.028588732997123
19.7	0.8175	0.72500706	0.733949965	0.758819008333333	0.051015566003891	0.029453850765207
19.8	0.8177	0.72425706	0.732096965	0.758018008333333	0.05183455531378	0.029926694463735
19.9	0.8237	0.73586506	0.744605965	0.768057008333333	0.048386028420065	0.027935686533341
20	0.8237	0.74003006	0.753973965	0.772568008333333	0.044827096164176	0.025880936037377
20.1	0.8237	0.74419506	0.763341965	0.777079008333333	0.0414944410826	0.023956826728912
20.2	0.8096	0.74581506	0.763030965	0.772815341666667	0.032998941843146	0.019051947956113
20.3	0.8079	0.74535806	0.765685965	0.772981341666667	0.031902828327161	0.018419106522597
20.4	0.8048	0.75205206	0.772988965	0.776613675	0.026560123973713	0.015334494725933
20.5	0.7985	0.76215906	0.767036965	0.775898675	0.019724690317315	0.011388055264384
20.6	0.7973	0.76810206	0.771014965	0.778805675	0.016082639608876	0.009285316307464
20.7	0.7947	0.77415506	0.766934965	0.778596675	0.014405563161292	0.008317055769
20.8	0.7924	0.77069706	0.760072965	0.774390008333333	0.016476883762329	0.009512933275587
20.9	0.7917	0.77389706	0.755983965	0.773860341666667	0.017858045811547	0.010310347556497
21	0.7885	0.78651206	0.749693965	0.774902008333333	0.021853422223586	0.012617079203502
21.1	0.789	0.78959906	0.743512965	0.774037341666667	0.026436582539869	0.015263168045847
21.2	0.7759	0.79081906	0.733151965	0.766623675	0.029931774347071	0.017281117976605
21.3	0.7664	0.79126006	0.736141965	0.764600675	0.027603066441049	0.015936637840199
21.4	0.7482	0.79396606	0.742238965	0.761468341666667	0.028301232432923	0.016339724163546
21.5	0.7375	0.79596206	0.751057965	0.761506675	0.030599587748187	0.017666680223507
21.6	0.7239	0.79281206	0.748686965	0.755133008333333	0.034905323510208	0.02015259792477
21.7	0.7129	0.78914206	0.746943965	0.749662008333333	0.038193634913848	0.022051105398841
21.8	0.7145	0.78450706	0.747392965	0.748800008333333	0.035024733270466	0.020221539181999
21.9	0.7206	0.78197806	0.750413965	0.750997341666667	0.030693188309335	0.017720720532683
22	0.7174	0.77933906	0.753271965	0.750003675	0.031098602509823	0.017954786530468
22.1	0.7178	0.78399506	0.765455965	0.755750341666667	0.034148145415488	0.019715440947958
22.2	0.7123	0.78971606	0.770382965	0.757466341666667	0.040291946530694	0.02326256617567
22.3	0.7125	0.80130606	0.770564965	0.761457008333333	0.045098173235313	0.026037442457368
22.4	0.7238	0.80992906	0.773685965	0.769138341666667	0.043244241265252	0.024967074335394
22.5	0.72675	0.80859106	0.769216465	0.768185841666667	0.040930262811547	0.023631098252249
22.6	0.7297	0.80725306	0.764746965	0.767233341666667	0.038836269523955	0.022422130663977
22.7	0.7262	0.79662206	0.748147965	0.756990008333333	0.03603405238649	0.020804269845333
22.8	0.7249	0.78955406	0.735705965	0.750053341666667	0.034632676499692	0.019995185099854
22.9	0.725	0.78566706	0.737521965	0.749396341666667	0.032029262529401	0.018492103343295
23	0.718	0.78634806	0.741019965	0.748456008333333	0.034775499734473	0.020077644132902
23.1	0.7197	0.78295206	0.746137965	0.749596675	0.031767558604793	0.018341008511975
23.2	0.7183	0.78269806	0.750443965	0.750480675	0.032199045694849	0.01859012769957
23.3	0.7166	0.78837706	0.744126965	0.749701341666667	0.036211763861725	0.020906871613398
23.4	0.7139	0.78628306	0.739640965	0.746608008333333	0.036691029058168	0.021183575503578
23.5	0.7162	0.78634106	0.741686965	0.748076008333333	0.035504323405993	0.020498430675845
23.6	0.7126	0.78334706	0.742148965	0.746032008333333	0.035533014842641	0.020514995684518
23.7	0.7199	0.78349606	0.743121965	0.748839341666667	0.032181221369648	0.018579836820617
23.8	0.7209	0.78525706	0.737830965	0.747996008333333	0.033360963301999	0.019260961142834
23.9	0.7148	0.78260106	0.727898965	0.741766675	0.035964996451605	0.020764400382738
24	0.7117	0.77614506	0.731273965	0.739706341666667	0.033039675721582	0.019075465671793
24.1	0.7174	0.76818006	0.728299965	0.737960008333333	0.026732769241182	0.015434171517581
24.2	0.7201	0.76559906	0.724271965	0.736657008333333	0.025151204523786	0.014521054702251
24.3	0.7172	0.76303006	0.725566965	0.735265675	0.02440588723339	0.01409074556401
24.4	0.716	0.76593606	0.728177965	0.736704675	0.026037110239982	0.015032532605974
24.5	0.7149	0.76499806	0.726234965	0.735377675	0.026270625488347	0.015167352697477
24.6	0.7094	0.75608006	0.725007965	0.730162675	0.023763107473329	0.013719636496508
24.7	0.7021	0.75513806	0.725542965	0.727593675	0.026578431307528	0.015345064470039
24.8	0.7043	0.75319506	0.731955965	0.729817008333333	0.0245176074448	0.014155247258141
